Country,Trade Type,Partner Country,Value (Million USD),Year
greece,Export,Italy,$5.62B,2024
greece,Export,Germany,$3.74B,2024
greece,Export,Cyprus,$3.34B,2024
greece,Export,Bulgaria,$3.07B,2024
greece,Export,United States,$2.61B,2024
greece,Export,United Kingdom,$2.12B,2024
greece,Export,Romania,$1.92B,2024
greece,Export,Spain,$1.68B,2024
greece,Export,Turkey,$1.64B,2024
greece,Export,France,$1.57B,2024
hungary,Export,Germany,$41.71B,2024
hungary,Export,Romania,$9.33B,2024
hungary,Export,Poland,$8.90B,2024
hungary,Export,Italy,$8.63B,2024
hungary,Export,Slovakia,$8.40B,2024
hungary,Export,France,$7.09B,2024
hungary,Export,Czech Republic,$7.06B,2024
hungary,Export,United States,$6.92B,2024
hungary,Export,Austria,$6.63B,2024
hungary,Export,United Kingdom,$6.25B,2024
iceland,Export,Netherlands,$2.28B,2024
iceland,Export,United States,$800.50M,2024
iceland,Export,United Kingdom,$667.35M,2024
iceland,Export,France,$490.32M,2024
iceland,Export,Norway,$376.42M,2024
iceland,Export,Germany,$345.50M,2024
iceland,Export,Spain,$317.71M,2024
iceland,Export,Denmark,$168.94M,2024
iceland,Export,Poland,$165.04M,2024
iceland,Export,Portugal,$152.54M,2024
ireland,Export,United States,$78.61B,2024
ireland,Export,Netherlands,$24.89B,2024
ireland,Export,United Kingdom,$22.58B,2024
ireland,Export,Germany,$21.79B,2024
ireland,Export,Belgium,$18.43B,2024
ireland,Export,China,$10.26B,2024
ireland,Export,Italy,$7.66B,2024
ireland,Export,France,$6.98B,2024
ireland,Export,Spain,$5.62B,2024
ireland,Export,Canada,$4.42B,2024
latvia,Export,Lithuania,$3.67B,2024
latvia,Export,Estonia,$2.39B,2024
latvia,Export,Germany,$1.32B,2024
latvia,Export,Sweden,$1.12B,2024
latvia,Export,Russia,$1.11B,2024
latvia,Export,United Kingdom,$1.07B,2024
latvia,Export,Poland,$874.26M,2024
latvia,Export,Denmark,$860.47M,2024
latvia,Export,Netherlands,$670.17M,2024
latvia,Export,Finland,$599.15M,2024
lithuania,Export,Latvia,$4.59B,2023
lithuania,Export,Poland,$3.94B,2023
lithuania,Export,Germany,$3.31B,2023
lithuania,Export,Netherlands,$2.53B,2023
lithuania,Export,Estonia,$2.32B,2023
lithuania,Export,Russia,$2.32B,2023
lithuania,Export,United States,$2.04B,2023
lithuania,Export,Belarus,$1.84B,2023
lithuania,Export,Sweden,$1.70B,2023
lithuania,Export,United Kingdom,$1.62B,2023
luxembourg,Export,Germany,$4.15B,2023
luxembourg,Export,France,$2.54B,2023
luxembourg,Export,Belgium,$2.00B,2023
luxembourg,Export,Netherlands,$1.09B,2023
luxembourg,Export,Italy,$725.49M,2023
luxembourg,Export,United States,$515.33M,2023
luxembourg,Export,Spain,$445.68M,2023
luxembourg,Export,Poland,$417.98M,2023
luxembourg,Export,United Kingdom,$406.12M,2023
luxembourg,Export,Austria,$312.28M,2023
malta,Export,Germany,$931.76M,2023
malta,Export,Japan,$207.18M,2023
malta,Export,Italy,$186.38M,2023
malta,Export,Hong Kong,$155.08M,2023
malta,Export,Singapore,$154.26M,2023
malta,Export,United States,$135.53M,2023
malta,Export,United Kingdom,$107.00M,2023
malta,Export,Spain,$80.40M,2023
malta,Export,Ghana,$75.83M,2023
malta,Export,Croatia,$64.69M,2023
moldova,Export,Romania,$1.42B,2023
moldova,Export,Ukraine,$595.30M,2023
moldova,Export,Italy,$260.02M,2023
moldova,Export,Germany,$221.32M,2023
moldova,Export,Czech Republic,$160.92M,2023
moldova,Export,Russia,$144.10M,2023
moldova,Export,Turkey,$142.32M,2023
moldova,Export,Poland,$133.58M,2023
moldova,Export,Bulgaria,$86.14M,2023
moldova,Export,Belarus,$84.06M,2023
montenegro,Export,Serbia,$206.36M,2023
montenegro,Export,Bosnia And Herzegovina,$81.66M,2023
montenegro,Export,Slovenia,$79.44M,2023
montenegro,Export,Czech Republic,$32.10M,2023
montenegro,Export,Hong Kong,$31.16M,2023
montenegro,Export,Luxembourg,$30.28M,2023
montenegro,Export,Switzerland,$27.12M,2023
montenegro,Export,Albania,$24.16M,2023
montenegro,Export,Germany,$23.19M,2023
montenegro,Export,Italy,$19.33M,2023
norway,Export,United Kingdom,$31.56B,2024
norway,Export,Germany,$26.13B,2024
norway,Export,Netherlands,$17.86B,2024
norway,Export,Sweden,$11.64B,2024
norway,Export,France,$10.48B,2024
norway,Export,Poland,$9.83B,2024
norway,Export,Belgium,$8.77B,2024
norway,Export,Denmark,$8.24B,2024
norway,Export,United States,$5.79B,2024
norway,Export,Finland,$5.65B,2024
poland,Export,Germany,$102.93B,2024
poland,Export,Czech Republic,$23.19B,2024
poland,Export,France,$23.13B,2024
poland,Export,United Kingdom,$20.08B,2024
poland,Export,Netherlands,$17.55B,2024
poland,Export,Italy,$17.29B,2024
poland,Export,Ukraine,$14.23B,2024
poland,Export,United States,$12.59B,2024
poland,Export,Spain,$11.02B,2024
poland,Export,Slovakia,$10.15B,2024
portugal,Export,Spain,$22.31B,2024
portugal,Export,Germany,$10.56B,2024
portugal,Export,France,$10.46B,2024
portugal,Export,United States,$5.76B,2024
portugal,Export,United Kingdom,$3.91B,2024
portugal,Export,Italy,$3.79B,2024
portugal,Export,Netherlands,$3.08B,2024
portugal,Export,Belgium,$2.21B,2024
portugal,Export,Poland,$1.28B,2024
portugal,Export,Morocco,$1.27B,2024
romania,Export,Germany,$20.97B,2023
romania,Export,Italy,$10.23B,2023
romania,Export,France,$6.38B,2023
romania,Export,Hungary,$5.70B,2023
romania,Export,Bulgaria,$4.18B,2023
romania,Export,Poland,$3.70B,2023
romania,Export,Netherlands,$3.40B,2023
romania,Export,Turkey,$3.31B,2023
romania,Export,Spain,$3.25B,2023
romania,Export,Czech Republic,$3.24B,2023
serbia,Export,Germany,$4.66B,2023
serbia,Export,Bosnia And Herzegovina,$2.13B,2023
serbia,Export,Italy,$1.91B,2023
serbia,Export,Hungary,$1.69B,2023
serbia,Export,Romania,$1.56B,2023
serbia,Export,Montenegro,$1.32B,2023
serbia,Export,China,$1.24B,2023
serbia,Export,Russia,$1.19B,2023
serbia,Export,Czech Republic,$1.17B,2023
serbia,Export,Croatia,$1.12B,2023
slovakia,Export,Germany,$24.55B,2023
slovakia,Export,Czech Republic,$14.12B,2023
slovakia,Export,Poland,$8.58B,2023
slovakia,Export,Hungary,$8.34B,2023
slovakia,Export,France,$6.19B,2023
slovakia,Export,Austria,$6.02B,2023
slovakia,Export,Italy,$5.25B,2023
slovakia,Export,United States,$5.24B,2023
slovakia,Export,United Kingdom,$5.07B,2023
slovakia,Export,China,$3.11B,2023
slovenia,Export,Switzerland,$16.21B,2023
slovenia,Export,Germany,$8.02B,2023
slovenia,Export,Italy,$5.09B,2023
slovenia,Export,Croatia,$4.66B,2023
slovenia,Export,Austria,$3.38B,2023
slovenia,Export,France,$1.97B,2023
slovenia,Export,Serbia,$1.56B,2023
slovenia,Export,Poland,$1.45B,2023
slovenia,Export,Hungary,$1.32B,2023
slovenia,Export,Russia,$1.19B,2023
sweden,Export,Germany,$19.58B,2024
sweden,Export,Norway,$18.83B,2024
sweden,Export,United States,$17.05B,2024
sweden,Export,Denmark,$13.24B,2024
sweden,Export,Finland,$13.05B,2024
sweden,Export,United Kingdom,$10.18B,2024
sweden,Export,Netherlands,$10.15B,2024
sweden,Export,Belgium,$9.09B,2024
sweden,Export,France,$7.95B,2024
sweden,Export,Poland,$7.53B,2024
ukraine,Export,Poland,$4.76B,2023
ukraine,Export,Romania,$3.76B,2023
ukraine,Export,China,$2.41B,2023
ukraine,Export,Turkey,$2.37B,2023
ukraine,Export,Germany,$2.02B,2023
ukraine,Export,Spain,$2.01B,2023
ukraine,Export,Italy,$1.54B,2023
ukraine,Export,Netherlands,$1.49B,2023
ukraine,Export,Hungary,$1.18B,2023
ukraine,Export,Egypt,$1.09B,2023
algeria,Export,Italy,$5.21B,2016
algeria,Export,Spain,$3.88B,2016
algeria,Export,United States,$3.87B,2016
algeria,Export,France,$3.42B,2016
algeria,Export,Brazil,$1.62B,2016
algeria,Export,Netherlands,$1.47B,2016
algeria,Export,Turkey,$1.34B,2016
algeria,Export,Canada,$1.30B,2016
algeria,Export,United Kingdom,$1.06B,2016
algeria,Export,Belgium,$987.32M,2016
angola,Export,China,$18.43B,2023
angola,Export,Spain,$2.97B,2023
angola,Export,Netherlands,$2.40B,2023
angola,Export,India,$2.34B,2023
angola,Export,France,$1.88B,2023
angola,Export,Republic of the Congo,$1.24B,2023
angola,Export,Indonesia,$1.21B,2023
angola,Export,United Arab Emirates,$1.17B,2023
angola,Export,Italy,$930.20M,2023
angola,Export,Malaysia,$740.22M,2023
benin,Export,Bangladesh,$406.24M,2022
benin,Export,India,$107.85M,2022
benin,Export,China,$55.49M,2022
benin,Export,Egypt,$39.93M,2022
benin,Export,Pakistan,$37.46M,2022
benin,Export,Togo,$35.16M,2022
benin,Export,Chad,$28.03M,2022
benin,Export,Vietnam,$22.02M,2022
benin,Export,Nigeria,$14.41M,2022
benin,Export,Niger,$12.37M,2022
botswana,Export,United Arab Emirates,$1.64B,2023
botswana,Export,Belgium,$985.87M,2023
botswana,Export,India,$674.19M,2023
botswana,Export,South Africa,$652.97M,2023
botswana,Export,China,$351.72M,2023
botswana,Export,Hong Kong,$322.88M,2023
botswana,Export,Israel,$215.07M,2023
botswana,Export,Australia,$121.19M,2023
botswana,Export,United States,$111.89M,2023
botswana,Export,Singapore,$97.85M,2023
burkina-faso,Export,Switzerland,$3.17B,2024
burkina-faso,Export,United Arab Emirates,$1.48B,2024
burkina-faso,Export,Ivory Coast,$163.51M,2024
burkina-faso,Export,Mali,$129.92M,2024
burkina-faso,Export,Ghana,$84.32M,2024
burkina-faso,Export,Togo,$59.94M,2024
burkina-faso,Export,South Africa,$55.19M,2024
burkina-faso,Export,India,$54.27M,2024
burkina-faso,Export,Greece,$54.01M,2024
burkina-faso,Export,Singapore,$46.07M,2024
burundi,Export,United Arab Emirates,$58.27M,2022
burundi,Export,Congo,$38.75M,2022
burundi,Export,Switzerland,$19.69M,2022
burundi,Export,Belgium,$16.70M,2022
burundi,Export,Pakistan,$10.14M,2022
burundi,Export,Tanzania,$9.92M,2022
burundi,Export,Sudan,$9.21M,2022
burundi,Export,Egypt,$5.13M,2022
burundi,Export,Oman,$4.43M,2022
burundi,Export,United Kingdom,$4.20M,2022
cameroon,Export,China,$1.11B,2021
cameroon,Export,Netherlands,$532.92M,2021
cameroon,Export,India,$415.34M,2021
cameroon,Export,Italy,$307.22M,2021
cameroon,Export,Spain,$262.50M,2021
cameroon,Export,Bangladesh,$171.37M,2021
cameroon,Export,Chad,$158.77M,2021
cameroon,Export,Belgium,$152.35M,2021
cameroon,Export,France,$129.16M,2021
cameroon,Export,United States,$113.28M,2021
cape-verde,Export,Spain,$54.15M,2023
cape-verde,Export,Portugal,$41.50M,2023
cape-verde,Export,Togo,$11.63M,2023
cape-verde,Export,Netherlands,$10.98M,2023
cape-verde,Export,Italy,$9.50M,2023
cape-verde,Export,France,$7.33M,2023
cape-verde,Export,United Arab Emirates,$6.60M,2023
cape-verde,Export,India,$5.52M,2023
cape-verde,Export,Belgium,$4.42M,2023
cape-verde,Export,Ghana,$3.44M,2023
central-african-republic,Export,United Arab Emirates,$78.59M,2023
central-african-republic,Export,Italy,$8.05M,2023
central-african-republic,Export,France,$6.44M,2023
central-african-republic,Export,China,$4.32M,2023
central-african-republic,Export,Gabon,$4.21M,2023
central-african-republic,Export,Vietnam,$2.06M,2023
central-african-republic,Export,Germany,$1.82M,2023
central-african-republic,Export,Cameroon,$1.46M,2023
central-african-republic,Export,Spain,$1.38M,2023
central-african-republic,Export,Turkey,$705.91K,2023
comoros,Export,India,$8.49M,2021
comoros,Export,Tanzania,$7.34M,2021
comoros,Export,France,$6.72M,2021
comoros,Export,United States,$1.97M,2021
comoros,Export,Madagascar,$1.60M,2021
comoros,Export,Germany,$1.60M,2021
comoros,Export,United Arab Emirates,$1.02M,2021
comoros,Export,United Kingdom,$836.51K,2021
comoros,Export,Netherlands,$790.92K,2021
comoros,Export,Mauritius,$707.78K,2021
congo,Export,China,$15.97B,2023
congo,Export,South Africa,$2.40B,2023
congo,Export,Hong Kong,$2.34B,2023
congo,Export,Mozambique,$1.58B,2023
congo,Export,Singapore,$1.37B,2023
congo,Export,Tanzania,$1.20B,2023
congo,Export,United Arab Emirates,$1.03B,2023
congo,Export,Switzerland,$584.82M,2023
congo,Export,Vietnam,$392.64M,2023
congo,Export,Zambia,$325.06M,2023
djibouti,Export,Ethiopia,$4.00B,2023
djibouti,Export,United Arab Emirates,$221.98M,2023
djibouti,Export,China,$115.90M,2023
djibouti,Export,France,$84.35M,2023
djibouti,Export,United States,$76.02M,2023
djibouti,Export,Yemen,$66.16M,2023
djibouti,Export,Somalia,$53.99M,2023
djibouti,Export,Oman,$37.89M,2023
djibouti,Export,Turkey,$31.30M,2023
djibouti,Export,Canada,$22.21M,2023
egypt,Export,Turkey,$3.77B,2023
egypt,Export,Italy,$3.14B,2023
egypt,Export,Saudi Arabia,$2.68B,2023
egypt,Export,United Arab Emirates,$2.21B,2023
egypt,Export,United States,$1.95B,2023
egypt,Export,Libya,$1.82B,2023
egypt,Export,Spain,$1.76B,2023
egypt,Export,Greece,$1.55B,2023
egypt,Export,United Kingdom,$1.23B,2023
egypt,Export,India,$1.18B,2023
eritrea,Export,Singapore,$820.12K,2003
eritrea,Export,Italy,$767.86K,2003
eritrea,Export,Netherlands,$688.70K,2003
eritrea,Export,India,$478.32K,2003
eritrea,Export,Greece,$429.82K,2003
eritrea,Export,Russia,$192.69K,2003
eritrea,Export,Hong Kong,$187.40K,2003
eritrea,Export,United Kingdom,$174.27K,2003
eritrea,Export,France,$171.97K,2003
eritrea,Export,Pakistan,$167.96K,2003
ethiopia,Export,Saudi Arabia,$297.92M,2023
ethiopia,Export,United States,$276.46M,2023
ethiopia,Export,Netherlands,$218.71M,2023
ethiopia,Export,United Arab Emirates,$163.90M,2023
ethiopia,Export,Somalia,$142.16M,2023
ethiopia,Export,India,$139.25M,2023
ethiopia,Export,Germany,$135.40M,2023
ethiopia,Export,China,$131.65M,2023
ethiopia,Export,South Korea,$116.13M,2023
ethiopia,Export,Japan,$104.12M,2023
gabon,Export,China,$3.52B,2023
gabon,Export,France,$1.34B,2023
gabon,Export,Spain,$755.06M,2023
gabon,Export,Netherlands,$723.99M,2023
gabon,Export,Israel,$679.84M,2023
gabon,Export,Malaysia,$631.40M,2023
gabon,Export,Italy,$593.99M,2023
gabon,Export,India,$588.40M,2023
gabon,Export,Republic of the Congo,$574.03M,2023
gabon,Export,Indonesia,$573.35M,2023
gambia,Export,Guinea Bissau,$59.27M,2023
gambia,Export,Mali,$8.85M,2023
gambia,Export,China,$5.78M,2023
gambia,Export,India,$2.35M,2023
gambia,Export,Senegal,$1.32M,2023
gambia,Export,United Kingdom,$1.19M,2023
gambia,Export,Vietnam,$838.68K,2023
gambia,Export,Spain,$745.44K,2023
gambia,Export,Turkey,$619.33K,2023
gambia,Export,South Korea,$563.30K,2023
ghana,Export,Switzerland,$3.08B,2023
ghana,Export,South Africa,$1.97B,2023
ghana,Export,United Arab Emirates,$1.71B,2023
ghana,Export,China,$1.38B,2023
ghana,Export,India,$1.18B,2023
ghana,Export,Canada,$855.49M,2023
ghana,Export,United States,$787.79M,2023
ghana,Export,Netherlands,$664.14M,2023
ghana,Export,Italy,$621.43M,2023
ghana,Export,Brazil,$523.25M,2023
guinea,Export,China,$53.76B,2017
guinea,Export,Belgium,$4.24B,2017
guinea,Export,Singapore,$1.03B,2017
guinea,Export,United Arab Emirates,$923.20M,2017
guinea,Export,United States,$630.25M,2017
guinea,Export,Ghana,$388.43M,2017
guinea,Export,India,$305.82M,2017
guinea,Export,Spain,$114.62M,2017
guinea,Export,France,$113.47M,2017
guinea,Export,Ireland,$108.72M,2017
guinea-bissau,Export,India,$20.13M,2005
guinea-bissau,Export,Singapore,$2.81M,2005
guinea-bissau,Export,Portugal,$121.21K,2005
guinea-bissau,Export,Netherlands,$58.23K,2005
guinea-bissau,Export,Panama,$49.77K,2005
guinea-bissau,Export,North Korea,$47.84K,2005
guinea-bissau,Export,Gambia,$8.18K,2005
guinea-bissau,Export,United States,$4.75K,2005
guinea-bissau,Export,Senegal,$4.42K,2005
guinea-bissau,Export,Cape Verde,$1.59K,2005
ivory-coast,Export,Netherlands,$2.11B,2023
ivory-coast,Export,Switzerland,$1.95B,2023
ivory-coast,Export,Mali,$1.59B,2023
ivory-coast,Export,Malaysia,$912.42M,2023
ivory-coast,Export,Vietnam,$912.23M,2023
ivory-coast,Export,Burkina Faso,$792.41M,2023
ivory-coast,Export,China,$776.71M,2023
ivory-coast,Export,United States,$767.94M,2023
ivory-coast,Export,France,$672.99M,2023
ivory-coast,Export,Germany,$650.01M,2023
kenya,Export,Uganda,$896.60M,2023
kenya,Export,Pakistan,$563.22M,2023
kenya,Export,Netherlands,$544.20M,2023
kenya,Export,Tanzania,$487.64M,2023
kenya,Export,United States,$458.58M,2023
kenya,Export,United Arab Emirates,$399.08M,2023
kenya,Export,United Kingdom,$390.22M,2023
kenya,Export,Rwanda,$301.94M,2023
kenya,Export,South Sudan,$226.69M,2023
kenya,Export,Egypt,$222.76M,2023
lesotho,Export,South Africa,$444.96M,2023
lesotho,Export,Belgium,$195.87M,2023
lesotho,Export,United States,$156.65M,2023
lesotho,Export,Swaziland,$7.41M,2023
lesotho,Export,Germany,$5.72M,2023
lesotho,Export,Canada,$5.06M,2023
lesotho,Export,United Kingdom,$2.94M,2023
lesotho,Export,Egypt,$2.58M,2023
lesotho,Export,Botswana,$1.75M,2023
lesotho,Export,Mozambique,$1.12M,2023
liberia,Export,United States,$57.56M,2023
liberia,Export,Belgium,$32.94M,2023
liberia,Export,Cameroon,$10.58M,2023
liberia,Export,Ghana,$7.55M,2023
liberia,Export,Singapore,$6.79M,2023
liberia,Export,United Kingdom,$4.53M,2023
liberia,Export,Malaysia,$3.95M,2023
liberia,Export,United Arab Emirates,$3.76M,2023
liberia,Export,Spain,$3.15M,2023
liberia,Export,Morocco,$2.69M,2023
libya,Export,Italy,$9.73B,2019
libya,Export,China,$6.58B,2019
libya,Export,Spain,$3.41B,2019
libya,Export,France,$1.47B,2019
libya,Export,United Arab Emirates,$1.21B,2019
libya,Export,United States,$776.64M,2019
libya,Export,Denmark,$739.38M,2019
libya,Export,Greece,$693.56M,2019
libya,Export,Netherlands,$661.61M,2019
libya,Export,Australia,$570.62M,2019
madagascar,Export,France,$475.69M,2023
madagascar,Export,United States,$412.89M,2023
madagascar,Export,Japan,$270.82M,2023
madagascar,Export,South Korea,$270.66M,2023
madagascar,Export,China,$267.50M,2023
madagascar,Export,Netherlands,$207.43M,2023
madagascar,Export,Turkey,$135.61M,2023
madagascar,Export,India,$132.97M,2023
madagascar,Export,Canada,$111.82M,2023
madagascar,Export,Indonesia,$101.71M,2023
malawi,Export,Belgium,$153.86M,2023
malawi,Export,Tanzania,$104.76M,2023
malawi,Export,China,$54.43M,2023
malawi,Export,South Africa,$51.68M,2023
malawi,Export,Zimbabwe,$51.11M,2023
malawi,Export,Zambia,$44.97M,2023
malawi,Export,India,$44.44M,2023
malawi,Export,United States,$40.39M,2023
malawi,Export,United Kingdom,$38.25M,2023
malawi,Export,Kenya,$30.50M,2023
mali,Export,South Africa,$1.33B,2019
mali,Export,Switzerland,$1.30B,2019
mali,Export,Bangladesh,$258.61M,2019
mali,Export,Ivory Coast,$154.44M,2019
mali,Export,Burkina Faso,$100.68M,2019
mali,Export,Senegal,$97.43M,2019
mali,Export,India,$55.26M,2019
mali,Export,Malaysia,$36.54M,2019
mali,Export,China,$32.90M,2019
mali,Export,Denmark,$31.62M,2019
mauritania,Export,Canada,$993.82M,2023
mauritania,Export,China,$922.34M,2023
mauritania,Export,Algeria,$332.00M,2023
mauritania,Export,Switzerland,$299.01M,2023
mauritania,Export,Spain,$250.44M,2023
mauritania,Export,United Arab Emirates,$226.36M,2023
mauritania,Export,Italy,$153.39M,2023
mauritania,Export,Japan,$142.64M,2023
mauritania,Export,Australia,$106.31M,2023
mauritania,Export,Netherlands,$84.81M,2023
mauritius,Export,France,$272.93M,2023
mauritius,Export,South Africa,$199.98M,2023
mauritius,Export,United States,$175.11M,2023
mauritius,Export,United Kingdom,$171.63M,2023
mauritius,Export,Madagascar,$135.95M,2023
mauritius,Export,Spain,$126.11M,2023
mauritius,Export,Italy,$85.94M,2023
mauritius,Export,Vietnam,$73.10M,2023
mauritius,Export,Netherlands,$68.32M,2023
mauritius,Export,India,$54.75M,2023
morocco,Export,Spain,$9.57B,2023
morocco,Export,France,$8.70B,2023
morocco,Export,Italy,$2.20B,2023
morocco,Export,United Kingdom,$1.89B,2023
morocco,Export,Germany,$1.82B,2023
morocco,Export,United States,$1.25B,2023
morocco,Export,India,$1.22B,2023
morocco,Export,Brazil,$1.20B,2023
morocco,Export,Turkey,$1.17B,2023
morocco,Export,Netherlands,$920.94M,2023
mozambique,Export,India,$1.29B,2023
mozambique,Export,China,$1.18B,2023
mozambique,Export,South Africa,$1.16B,2023
mozambique,Export,South Korea,$466.58M,2023
mozambique,Export,United Kingdom,$399.82M,2023
mozambique,Export,Singapore,$390.28M,2023
mozambique,Export,Thailand,$380.14M,2023
mozambique,Export,Vietnam,$324.32M,2023
mozambique,Export,Netherlands,$304.76M,2023
mozambique,Export,Italy,$244.00M,2023
namibia,Export,Botswana,$1.06B,2023
namibia,Export,South Africa,$1.02B,2023
namibia,Export,China,$684.18M,2023
namibia,Export,Zambia,$309.28M,2023
namibia,Export,Belgium,$293.20M,2023
namibia,Export,Spain,$275.43M,2023
namibia,Export,United Arab Emirates,$235.19M,2023
namibia,Export,Netherlands,$181.84M,2023
namibia,Export,Congo,$154.62M,2023
namibia,Export,France,$149.37M,2023
niger,Export,France,$207.16M,2023
niger,Export,United Arab Emirates,$99.68M,2023
niger,Export,Mali,$50.80M,2023
niger,Export,Burkina Faso,$35.45M,2023
niger,Export,Chad,$16.44M,2023
niger,Export,Nigeria,$14.38M,2023
niger,Export,South Africa,$11.73M,2023
niger,Export,Ghana,$11.32M,2023
niger,Export,Germany,$5.71M,2023
niger,Export,Benin,$5.18M,2023
nigeria,Export,Netherlands,$8.18B,2023
nigeria,Export,Spain,$6.13B,2023
nigeria,Export,India,$5.45B,2023
nigeria,Export,United States,$4.86B,2023
nigeria,Export,Indonesia,$4.26B,2023
nigeria,Export,France,$4.26B,2023
nigeria,Export,Canada,$3.87B,2023
nigeria,Export,Ivory Coast,$2.62B,2023
nigeria,Export,United Kingdom,$2.55B,2023
nigeria,Export,Italy,$2.52B,2023
republic-of-the-congo,Export,China,$3.74B,2022
republic-of-the-congo,Export,Togo,$1.09B,2022
republic-of-the-congo,Export,India,$921.72M,2022
republic-of-the-congo,Export,Portugal,$849.16M,2022
republic-of-the-congo,Export,Singapore,$328.62M,2022
republic-of-the-congo,Export,Netherlands,$323.28M,2022
republic-of-the-congo,Export,Angola,$317.84M,2022
republic-of-the-congo,Export,United Arab Emirates,$162.20M,2022
republic-of-the-congo,Export,Norway,$123.29M,2022
republic-of-the-congo,Export,South Korea,$117.55M,2022
rwanda,Export,Congo,$768.27M,2022
rwanda,Export,United Arab Emirates,$590.30M,2022
rwanda,Export,China,$96.76M,2022
rwanda,Export,India,$71.18M,2022
rwanda,Export,United Kingdom,$46.46M,2022
rwanda,Export,Hong Kong,$39.45M,2022
rwanda,Export,Pakistan,$38.86M,2022
rwanda,Export,Ethiopia,$36.53M,2022
rwanda,Export,Singapore,$32.72M,2022
rwanda,Export,United States,$23.70M,2022
sao-tome-and-principe,Export,Netherlands,$9.99M,2023
sao-tome-and-principe,Export,Belgium,$3.42M,2023
sao-tome-and-principe,Export,Portugal,$784.42K,2023
sao-tome-and-principe,Export,Germany,$532.38K,2023
sao-tome-and-principe,Export,Spain,$521.66K,2023
sao-tome-and-principe,Export,Cameroon,$311.23K,2023
sao-tome-and-principe,Export,France,$300.48K,2023
sao-tome-and-principe,Export,Bulgaria,$203.52K,2023
sao-tome-and-principe,Export,Estonia,$125.57K,2023
sao-tome-and-principe,Export,United States,$87.88K,2023
senegal,Export,Mali,$1.22B,2023
senegal,Export,Switzerland,$645.74M,2023
senegal,Export,India,$544.41M,2023
senegal,Export,China,$223.79M,2023
senegal,Export,Gambia,$186.05M,2023
senegal,Export,Ivory Coast,$174.39M,2023
senegal,Export,Australia,$171.64M,2023
senegal,Export,Spain,$164.04M,2023
senegal,Export,Guinea Bissau,$157.40M,2023
senegal,Export,United States,$156.62M,2023
seychelles,Export,United Arab Emirates,$196.83M,2023
seychelles,Export,France,$126.38M,2023
seychelles,Export,United Kingdom,$55.12M,2023
seychelles,Export,Italy,$40.71M,2023
seychelles,Export,Singapore,$38.09M,2023
seychelles,Export,Germany,$27.77M,2023
seychelles,Export,Ivory Coast,$7.84M,2023
seychelles,Export,Hong Kong,$6.78M,2023
seychelles,Export,Spain,$5.79M,2023
seychelles,Export,Netherlands,$5.71M,2023
sierra-leone,Export,China,$37.48M,2018
sierra-leone,Export,South Korea,$28.68M,2018
sierra-leone,Export,Netherlands,$27.83M,2018
sierra-leone,Export,Somalia,$22.19M,2018
sierra-leone,Export,Ghana,$16.52M,2018
sierra-leone,Export,Romania,$15.95M,2018
sierra-leone,Export,Germany,$10.86M,2018
sierra-leone,Export,Guinea,$9.23M,2018
sierra-leone,Export,Senegal,$6.14M,2018
sierra-leone,Export,Ivory Coast,$3.93M,2018
sudan,Export,United Arab Emirates,$993.83M,2018
sudan,Export,China,$735.69M,2018
sudan,Export,Saudi Arabia,$588.49M,2018
sudan,Export,Egypt,$580.35M,2018
sudan,Export,India,$97.29M,2018
sudan,Export,Ethiopia,$89.59M,2018
sudan,Export,Turkey,$72.05M,2018
sudan,Export,Pakistan,$60.62M,2018
sudan,Export,France,$52.24M,2018
sudan,Export,Qatar,$34.32M,2018
swaziland,Export,South Africa,$1.41B,2023
swaziland,Export,Kenya,$89.64M,2023
swaziland,Export,Mozambique,$82.00M,2023
swaziland,Export,Nigeria,$70.11M,2023
swaziland,Export,Zimbabwe,$47.78M,2023
swaziland,Export,Tanzania,$35.55M,2023
swaziland,Export,Uganda,$34.16M,2023
swaziland,Export,Italy,$33.98M,2023
swaziland,Export,Botswana,$33.87M,2023
swaziland,Export,United States,$29.20M,2023
tanzania,Export,India,$1.55B,2023
tanzania,Export,South Africa,$1.12B,2023
tanzania,Export,United Arab Emirates,$686.44M,2023
tanzania,Export,Switzerland,$465.88M,2023
tanzania,Export,China,$427.89M,2023
tanzania,Export,Congo,$312.81M,2023
tanzania,Export,Uganda,$311.17M,2023
tanzania,Export,Belgium,$206.74M,2023
tanzania,Export,Rwanda,$188.08M,2023
tanzania,Export,Kenya,$176.52M,2023
togo,Export,India,$208.16M,2024
togo,Export,Ivory Coast,$160.47M,2024
togo,Export,Burkina Faso,$159.39M,2024
togo,Export,Mali,$106.98M,2024
togo,Export,France,$96.02M,2024
togo,Export,Benin,$95.91M,2024
togo,Export,Ghana,$87.92M,2024
togo,Export,Niger,$64.18M,2024
togo,Export,United States,$49.34M,2024
togo,Export,Senegal,$37.68M,2024
tunisia,Export,France,$4.57B,2023
tunisia,Export,Italy,$3.67B,2023
tunisia,Export,Germany,$2.64B,2023
tunisia,Export,Spain,$1.06B,2023
tunisia,Export,Libya,$855.40M,2023
tunisia,Export,United States,$627.16M,2023
tunisia,Export,Netherlands,$458.15M,2023
tunisia,Export,Algeria,$397.48M,2023
tunisia,Export,Belgium,$349.02M,2023
tunisia,Export,Switzerland,$318.48M,2023
uganda,Export,United Arab Emirates,$1.37B,2023
uganda,Export,Kenya,$736.83M,2023
