Country,Year,GDP,Per Capita,Growth
brazil,2012,"$2,465.23B","$12,328 ",1.92%
brazil,2011,"$2,616.16B","$13,201 ",3.97%
brazil,2010,"$2,208.84B","$11,249 ",7.53%
brazil,2009,"$1,667.00B","$8,570 ",-0.13%
brazil,2008,"$1,695.86B","$8,802 ",5.09%
brazil,2007,"$1,397.11B","$7,323 ",6.07%
brazil,2006,"$1,107.63B","$5,866 ",3.96%
brazil,2005,$891.63B,"$4,773 ",3.20%
brazil,2004,$669.29B,"$3,623 ",5.76%
brazil,2003,$558.23B,"$3,057 ",1.14%
brazil,2002,$509.80B,"$2,825 ",3.05%
brazil,2001,$559.98B,"$3,142 ",1.39%
brazil,2000,$655.45B,"$3,727 ",4.39%
brazil,1999,$599.64B,"$3,456 ",0.47%
brazil,1998,$863.71B,"$5,050 ",0.34%
brazil,1997,$883.21B,"$5,240 ",3.39%
brazil,1996,$850.43B,"$5,122 ",2.21%
brazil,1995,$769.33B,"$4,705 ",4.22%
brazil,1994,$525.37B,"$3,264 ",5.85%
brazil,1993,$368.29B,"$2,324 ",4.92%
brazil,1992,$328.19B,"$2,105 ",-0.54%
brazil,1991,$342.53B,"$2,234 ",1.03%
brazil,1990,$384.96B,"$2,554 ",-4.35%
brazil,1989,$425.60B,"$2,876 ",3.16%
canada,2023,"$2,140.09B","$53,372 ",1.07%
canada,2022,"$2,161.48B","$55,509 ",3.82%
canada,2021,"$2,007.47B","$52,497 ",5.29%
canada,2020,"$1,655.68B","$43,538 ",-5.04%
canada,2019,"$1,743.73B","$46,353 ",1.91%
canada,2018,"$1,725.33B","$46,539 ",2.74%
canada,2017,"$1,649.27B","$45,130 ",3.03%
canada,2016,"$1,527.99B","$42,314 ",1.04%
canada,2015,"$1,556.51B","$43,594 ",0.65%
canada,2014,"$1,805.75B","$50,961 ",2.87%
canada,2013,"$1,846.60B","$52,638 ",2.33%
canada,2012,"$1,828.37B","$52,670 ",1.76%
canada,2011,"$1,793.33B","$52,224 ",3.14%
canada,2010,"$1,617.34B","$47,561 ",3.09%
canada,2009,"$1,374.63B","$40,875 ",-2.92%
canada,2008,"$1,552.99B","$46,710 ",1.00%
canada,2007,"$1,468.82B","$44,660 ",2.05%
canada,2006,"$1,319.26B","$40,504 ",2.64%
canada,2005,"$1,173.11B","$36,384 ",3.21%
canada,2004,"$1,026.69B","$32,146 ",3.09%
canada,2003,$895.54B,"$28,302 ",1.81%
canada,2002,$760.65B,"$24,256 ",3.00%
canada,2001,$738.98B,"$23,822 ",1.88%
canada,2000,$744.77B,"$24,271 ",5.14%
canada,1999,$678.41B,"$22,315 ",5.14%
canada,1998,$634.00B,"$21,025 ",3.89%
canada,1997,$654.99B,"$21,902 ",4.28%
canada,1996,$630.61B,"$21,297 ",1.69%
canada,1995,$605.96B,"$20,680 ",2.68%
canada,1994,$579.94B,"$19,998 ",4.49%
canada,1993,$579.05B,"$20,187 ",2.66%
canada,1992,$594.39B,"$20,950 ",0.89%
canada,1991,$612.53B,"$21,847 ",-2.09%
canada,1990,$596.08B,"$21,526 ",0.20%
canada,1989,$567.21B,"$20,795 ",2.34%
canada,1988,$509.38B,"$19,013 ",4.41%
canada,1987,$433.13B,"$16,378 ",4.07%
canada,1986,$379.01B,"$14,521 ",2.12%
canada,1985,$366.19B,"$14,170 ",4.74%
canada,1984,$356.72B,"$13,930 ",5.90%
canada,1983,$341.87B,"$13,477 ",2.56%
canada,1982,$314.65B,"$12,527 ",-3.17%
canada,1981,$307.25B,"$12,379 ",3.42%
canada,1980,$274.78B,"$11,208 ",2.18%
canada,1979,$243.89B,"$10,078 ",3.73%
canada,1978,$219.37B,"$9,154 ",3.74%
canada,1977,$212.33B,"$8,949 ",3.53%
canada,1976,$207.27B,"$8,839 ",5.89%
canada,1975,$174.42B,"$7,537 ",1.55%
canada,1974,$160.95B,"$7,057 ",3.36%
canada,1973,$131.76B,"$5,858 ",6.73%
canada,1972,$113.46B,"$5,107 ",5.52%
canada,1971,$99.61B,"$4,535 ",4.02%
canada,1970,$88.19B,"$4,136 ",2.92%
canada,1969,$79.41B,"$3,776 ",5.07%
canada,1968,$72.05B,"$3,473 ",5.01%
canada,1967,$65.86B,"$3,226 ",3.07%
canada,1966,$61.25B,"$3,055 ",6.76%
canada,1965,$54.65B,"$2,777 ",6.32%
canada,1964,$49.50B,"$2,562 ",6.66%
canada,1963,$45.14B,"$2,380 ",5.30%
canada,1962,$42.34B,"$2,274 ",7.43%
canada,1961,$41.04B,"$2,246 ",3.16%
canada,1960,$40.56B,"$2,265 ",%
russia,2023,"$2,021.42B","$13,817 ",3.60%
russia,2022,"$2,266.03B","$15,445 ",-2.07%
russia,2021,"$1,843.39B","$12,522 ",5.61%
russia,2020,"$1,493.08B","$10,108 ",-2.65%
russia,2019,"$1,693.12B","$11,448 ",2.20%
russia,2018,"$1,657.33B","$11,212 ",2.81%
russia,2017,"$1,574.20B","$10,659 ",1.83%
russia,2016,"$1,276.79B","$8,663 ",0.19%
russia,2015,"$1,363.48B","$9,278 ",-1.97%
russia,2014,"$2,059.24B","$14,055 ",0.74%
russia,2013,"$2,292.47B","$15,941 ",1.76%
russia,2012,"$2,208.29B","$15,402 ",4.02%
russia,2011,"$2,045.92B","$14,305 ",4.30%
russia,2010,"$1,524.92B","$10,675 ",4.50%
russia,2009,"$1,222.65B","$8,563 ",-7.80%
russia,2008,"$1,660.85B","$11,635 ",5.20%
russia,2007,"$1,299.70B","$9,101 ",8.50%
russia,2006,$989.93B,"$6,920 ",8.20%
russia,2005,$764.02B,"$5,323 ",6.40%
russia,2004,$591.02B,"$4,102 ",7.20%
russia,2003,$430.35B,"$2,975 ",7.30%
russia,2002,$345.47B,"$2,378 ",4.70%
russia,2001,$306.60B,"$2,100 ",5.10%
russia,2000,$259.71B,"$1,772 ",10.00%
russia,1999,$195.91B,"$1,331 ",6.40%
russia,1998,$270.96B,"$1,835 ",-5.30%
russia,1997,$404.93B,"$2,738 ",1.40%
russia,1996,$391.72B,"$2,644 ",-3.76%
russia,1995,$395.54B,"$2,666 ",-4.14%
russia,1994,$395.08B,"$2,662 ",-12.57%
russia,1993,$435.08B,"$2,931 ",-8.67%
russia,1992,$460.29B,"$3,099 ",-14.53%
russia,1991,$517.96B,"$3,490 ",-5.05%
russia,1990,$517.01B,"$3,494 ",-3.00%
russia,1989,$506.63B,"$3,430 ",%
russia,1988,$554.83B,"$3,778 ",%
mexico,2023,"$1,788.89B","$13,926 ",3.23%
mexico,2022,"$1,463.32B","$11,477 ",3.95%
mexico,2021,"$1,313.07B","$10,363 ",5.74%
mexico,2020,"$1,120.83B","$8,896 ",-8.62%
mexico,2019,"$1,305.21B","$10,435 ",-0.25%
mexico,2018,"$1,256.30B","$10,130 ",1.97%
mexico,2017,"$1,190.72B","$9,693 ",1.87%
mexico,2016,"$1,112.23B","$9,153 ",1.77%
mexico,2015,"$1,213.29B","$10,098 ",2.70%
mexico,2014,"$1,364.51B","$11,490 ",2.50%
mexico,2013,"$1,327.44B","$11,317 ",0.85%
mexico,2012,"$1,255.11B","$10,843 ",3.55%
mexico,2011,"$1,229.01B","$10,767 ",3.44%
mexico,2010,"$1,105.42B","$9,823 ",4.97%
mexico,2009,$943.44B,"$8,496 ",-6.30%
mexico,2008,"$1,161.55B","$10,590 ",0.94%
mexico,2007,"$1,102.36B","$10,178 ",2.08%
mexico,2006,"$1,020.27B","$9,545 ",4.81%
mexico,2005,$917.57B,"$8,702 ",2.11%
mexico,2004,$819.46B,"$7,884 ",3.57%
mexico,2003,$765.55B,"$7,474 ",1.19%
mexico,2002,$810.67B,"$8,033 ",-0.24%
mexico,2001,$796.06B,"$8,009 ",-0.45%
mexico,2000,$742.06B,"$7,582 ",5.03%
mexico,1999,$631.25B,"$6,553 ",2.76%
mexico,1998,$557.46B,"$5,882 ",6.19%
mexico,1997,$523.45B,"$5,617 ",7.20%
mexico,1996,$432.16B,"$4,719 ",6.22%
mexico,1995,$380.16B,"$4,225 ",-5.91%
mexico,1994,$553.62B,"$6,269 ",4.39%
mexico,1993,$530.16B,"$6,119 ",2.87%
mexico,1992,$363.16B,"$4,273 ",3.57%
mexico,1991,$313.14B,"$3,757 ",3.98%
mexico,1990,$261.25B,"$3,197 ",5.25%
mexico,1989,$221.40B,"$2,759 ",3.63%
mexico,1988,$181.61B,"$2,302 ",1.22%
mexico,1987,$147.54B,"$1,902 ",2.06%
mexico,1986,$134.56B,"$1,765 ",-3.93%
mexico,1985,$195.24B,"$2,608 ",1.92%
mexico,1984,$184.23B,"$2,507 ",3.51%
mexico,1983,$156.17B,"$2,167 ",-4.62%
mexico,1982,$184.60B,"$2,613 ",-0.05%
mexico,1981,$263.80B,"$3,810 ",9.59%
mexico,1980,$205.58B,"$3,036 ",8.76%
mexico,1979,$134.53B,"$2,039 ",9.70%
mexico,1978,$102.65B,"$1,601 ",8.96%
mexico,1977,$81.91B,"$1,316 ",3.39%
mexico,1976,$88.88B,"$1,470 ",4.42%
mexico,1975,$88.00B,"$1,499 ",5.74%
mexico,1974,$72.00B,"$1,264 ",5.78%
mexico,1973,$55.28B,"$1,001 ",7.86%
mexico,1972,$45.20B,$844 ,8.23%
mexico,1971,$39.20B,$755 ,3.76%
mexico,1970,$35.52B,$706 ,6.50%
mexico,1969,$32.48B,$667 ,3.42%
mexico,1968,$29.36B,$622 ,9.42%
mexico,1967,$26.56B,$582 ,5.85%
mexico,1966,$24.32B,$550 ,6.10%
mexico,1965,$21.84B,$511 ,7.10%
mexico,1964,$20.08B,$486 ,11.91%
mexico,1963,$16.96B,$424 ,8.11%
mexico,1962,$15.20B,$393 ,4.66%
mexico,1961,$14.16B,$378 ,5.00%
mexico,1960,$13.04B,$360 ,%
australia,2023,"$1,723.83B","$64,712 ",3.02%
australia,2022,"$1,692.96B","$65,078 ",4.27%
australia,2021,"$1,559.03B","$60,697 ",2.11%
australia,2020,"$1,330.38B","$51,868 ",-0.33%
australia,2019,"$1,394.67B","$55,050 ",2.18%
australia,2018,"$1,429.73B","$57,274 ",2.91%
australia,2017,"$1,326.88B","$53,955 ",2.32%
australia,2016,"$1,207.58B","$49,919 ",2.78%
australia,2015,"$1,351.77B","$56,759 ",2.20%
australia,2014,"$1,468.60B","$62,558 ",2.61%
australia,2013,"$1,577.30B","$68,198 ",2.61%
australia,2012,"$1,547.65B","$68,078 ",3.92%
australia,2011,"$1,398.70B","$62,610 ",2.41%
australia,2010,"$1,148.89B","$52,147 ",2.23%
australia,2009,$928.76B,"$42,817 ",1.89%
australia,2008,"$1,056.11B","$49,701 ",3.59%
australia,2007,$855.01B,"$41,052 ",3.77%
australia,2006,$748.42B,"$36,596 ",2.76%
australia,2005,$695.69B,"$34,480 ",3.15%
australia,2004,$614.66B,"$30,837 ",4.22%
australia,2003,$467.74B,"$23,718 ",3.09%
australia,2002,$395.79B,"$20,302 ",3.98%
australia,2001,$379.63B,"$19,696 ",2.03%
australia,2000,$416.17B,"$21,870 ",3.92%
australia,1999,$389.65B,"$20,713 ",5.03%
australia,1998,$399.67B,"$21,479 ",4.66%
australia,1997,$435.64B,"$23,647 ",3.91%
australia,1996,$401.34B,"$22,022 ",3.86%
australia,1995,$368.17B,"$20,448 ",3.88%
australia,1994,$322.80B,"$18,129 ",3.98%
australia,1993,$312.13B,"$17,700 ",4.05%
australia,1992,$325.52B,"$18,624 ",0.43%
australia,1991,$325.97B,"$18,859 ",-0.38%
australia,1990,$311.42B,"$18,249 ",3.58%
australia,1989,$299.87B,"$17,834 ",3.88%
australia,1988,$236.15B,"$14,285 ",5.75%
australia,1987,$189.49B,"$11,651 ",2.56%
australia,1986,$182.48B,"$11,392 ",3.97%
australia,1985,$180.64B,"$11,441 ",5.28%
australia,1984,$193.52B,"$12,421 ",4.59%
australia,1983,$177.27B,"$11,516 ",-2.22%
australia,1982,$194.04B,"$12,779 ",3.33%
australia,1981,$176.89B,"$11,854 ",3.34%
australia,1980,$149.99B,"$10,209 ",3.04%
australia,1979,$134.90B,"$9,294 ",4.05%
australia,1978,$118.49B,"$8,253 ",0.89%
australia,1977,$110.35B,"$7,775 ",3.60%
australia,1976,$105.06B,"$7,487 ",2.59%
australia,1975,$97.30B,"$7,004 ",1.34%
australia,1974,$88.96B,"$6,483 ",4.11%
australia,1973,$63.83B,"$4,771 ",2.62%
australia,1972,$52.04B,"$3,949 ",3.91%
australia,1971,$45.22B,"$3,495 ",4.00%
australia,1970,$41.33B,"$3,305 ",7.18%
australia,1969,$36.68B,"$2,991 ",7.05%
australia,1968,$32.71B,"$2,724 ",5.09%
australia,1967,$30.44B,"$2,580 ",6.31%
australia,1966,$27.31B,"$2,344 ",2.38%
australia,1965,$25.98B,"$2,281 ",5.98%
australia,1964,$23.80B,"$2,131 ",6.98%
australia,1963,$21.54B,"$1,967 ",6.22%
australia,1962,$19.92B,"$1,855 ",1.29%
australia,1961,$19.68B,"$1,878 ",2.48%
australia,1960,$18.61B,"$1,811 ",%
south-korea,2023,"$1,712.79B","$33,121 ",1.36%
south-korea,2022,"$1,673.92B","$32,395 ",2.61%
south-korea,2021,"$1,818.43B","$35,126 ",4.30%
south-korea,2020,"$1,644.31B","$31,721 ",-0.71%
south-korea,2019,"$1,651.42B","$31,902 ",2.24%
south-korea,2018,"$1,725.37B","$33,447 ",2.91%
south-korea,2017,"$1,623.07B","$31,601 ",3.16%
south-korea,2016,"$1,499.68B","$29,280 ",2.95%
south-korea,2015,"$1,466.04B","$28,737 ",2.81%
south-korea,2014,"$1,484.49B","$29,253 ",3.20%
south-korea,2013,"$1,370.63B","$27,180 ",3.16%
south-korea,2012,"$1,278.05B","$25,459 ",2.40%
south-korea,2011,"$1,253.29B","$25,098 ",3.69%
south-korea,2010,"$1,143.67B","$23,079 ",6.80%
south-korea,2009,$943.94B,"$19,144 ",0.79%
south-korea,2008,"$1,047.34B","$21,350 ",3.01%
south-korea,2007,"$1,172.61B","$24,086 ",5.80%
south-korea,2006,"$1,053.22B","$21,743 ",5.26%
south-korea,2005,$934.90B,"$19,403 ",4.31%
south-korea,2004,$793.18B,"$16,496 ",5.20%
south-korea,2003,$702.71B,"$14,673 ",3.15%
south-korea,2002,$627.25B,"$13,165 ",7.73%
south-korea,2001,$547.66B,"$11,561 ",4.85%
south-korea,2000,$576.18B,"$12,257 ",9.06%
south-korea,1999,$497.51B,"$10,672 ",11.47%
south-korea,1998,$383.33B,"$8,282 ",-5.13%
south-korea,1997,$569.76B,"$12,398 ",6.17%
south-korea,1996,$610.17B,"$13,403 ",7.89%
south-korea,1995,$566.58B,"$12,565 ",9.61%
south-korea,1994,$463.62B,"$10,385 ",9.27%
south-korea,1993,$392.67B,"$8,885 ",6.88%
south-korea,1992,$355.52B,"$8,127 ",6.20%
south-korea,1991,$330.65B,"$7,637 ",10.78%
south-korea,1990,$283.37B,"$6,610 ",9.88%
south-korea,1989,$246.93B,"$5,817 ",7.07%
south-korea,1988,$199.59B,"$4,749 ",11.99%
south-korea,1987,$147.95B,"$3,555 ",12.72%
south-korea,1986,$116.84B,"$2,835 ",11.33%
south-korea,1985,$101.30B,"$2,482 ",7.84%
south-korea,1984,$97.51B,"$2,413 ",10.55%
south-korea,1983,$87.76B,"$2,199 ",13.38%
south-korea,1982,$78.36B,"$1,993 ",8.34%
south-korea,1981,$72.93B,"$1,883 ",7.25%
south-korea,1980,$65.40B,"$1,715 ",-1.65%
south-korea,1979,$66.95B,"$1,784 ",8.67%
south-korea,1978,$51.97B,"$1,406 ",10.95%
south-korea,1977,$38.45B,"$1,056 ",12.34%
south-korea,1976,$29.90B,$834 ,13.22%
south-korea,1975,$21.78B,$617 ,7.84%
south-korea,1974,$19.54B,$563 ,9.51%
south-korea,1973,$13.88B,$407 ,14.90%
south-korea,1972,$10.86B,$324 ,7.21%
south-korea,1971,$9.90B,$301 ,10.55%
south-korea,1970,$9.01B,$279 ,10.05%
south-korea,1969,$7.68B,$243 ,14.56%
south-korea,1968,$6.12B,$198 ,13.17%
south-korea,1967,$4.86B,$161 ,9.08%
south-korea,1966,$3.93B,$133 ,11.99%
south-korea,1965,$3.12B,$109 ,7.32%
south-korea,1964,$3.46B,$124 ,9.47%
south-korea,1963,$3.99B,$146 ,9.02%
south-korea,1962,$2.81B,$106 ,3.90%
south-korea,1961,$2.42B,$94 ,6.94%
south-korea,1960,$3.96B,$158 ,%
spain,2023,"$1,580.69B","$32,677 ",2.50%
spain,2022,"$1,417.80B","$29,675 ",5.77%
spain,2021,"$1,445.65B","$30,489 ",6.40%
spain,2020,"$1,278.13B","$26,984 ",-11.17%
spain,2019,"$1,394.32B","$29,582 ",1.98%
spain,2018,"$1,421.70B","$30,380 ",2.28%
spain,2017,"$1,313.25B","$28,185 ",2.98%
spain,2016,"$1,233.55B","$26,537 ",3.04%
spain,2015,"$1,196.16B","$25,754 ",3.84%
spain,2014,"$1,371.82B","$29,514 ",1.40%
spain,2013,"$1,355.58B","$29,077 ",-1.40%
spain,2012,"$1,324.75B","$28,323 ",-2.96%
spain,2011,"$1,480.71B","$31,678 ",-0.81%
spain,2010,"$1,422.11B","$30,532 ",0.16%
spain,2009,"$1,491.47B","$32,170 ",-3.76%
spain,2008,"$1,631.86B","$35,511 ",0.89%
spain,2007,"$1,474.00B","$32,591 ",3.60%
spain,2006,"$1,260.40B","$28,389 ",4.10%
spain,2005,"$1,153.72B","$26,429 ",3.65%
spain,2004,"$1,069.06B","$24,907 ",3.12%
spain,2003,$907.49B,"$21,511 ",2.98%
spain,2002,$708.76B,"$17,107 ",2.73%
spain,2001,$627.83B,"$15,369 ",3.93%
spain,2000,$598.36B,"$14,750 ",5.25%
spain,1999,$634.91B,"$15,721 ",4.49%
spain,1998,$619.21B,"$15,394 ",4.39%
spain,1997,$590.08B,"$14,731 ",3.70%
spain,1996,$642.59B,"$16,109 ",2.66%
spain,1995,$614.61B,"$15,472 ",2.76%
spain,1994,$530.56B,"$13,415 ",2.38%
spain,1993,$525.08B,"$13,340 ",-1.03%
spain,1992,$630.92B,"$16,112 ",0.93%
spain,1991,$577.17B,"$14,812 ",2.55%
spain,1990,$536.56B,"$13,805 ",3.78%
spain,1989,$414.76B,"$10,682 ",4.83%
spain,1988,$376.16B,"$9,703 ",5.09%
spain,1987,$318.75B,"$8,240 ",5.55%
spain,1986,$251.32B,"$6,514 ",3.25%
spain,1985,$180.79B,"$4,700 ",2.32%
spain,1984,$172.10B,"$4,490 ",1.78%
spain,1983,$170.95B,"$4,479 ",1.77%
spain,1982,$196.00B,"$5,160 ",1.25%
spain,1981,$202.81B,"$5,371 ",-0.13%
spain,1980,$232.77B,"$6,209 ",2.21%
spain,1979,$214.60B,"$5,770 ",0.04%
spain,1978,$160.60B,"$4,356 ",1.46%
spain,1977,$132.45B,"$3,628 ",2.84%
spain,1976,$118.51B,"$3,279 ",3.30%
spain,1975,$114.78B,"$3,210 ",0.54%
spain,1974,$97.27B,"$2,750 ",5.62%
spain,1973,$78.64B,"$2,248 ",7.79%
spain,1972,$59.13B,"$1,709 ",8.15%
spain,1971,$46.62B,"$1,362 ",4.65%
spain,1970,$40.99B,"$1,212 ",4.25%
spain,1969,$37.12B,"$1,110 ",8.91%
spain,1968,$32.42B,$979 ,6.60%
spain,1967,$32.59B,$997 ,4.34%
spain,1966,$29.58B,$916 ,7.25%
spain,1965,$25.50B,$798 ,6.25%
spain,1964,$21.98B,$695 ,5.31%
spain,1963,$19.65B,$628 ,9.60%
spain,1962,$16.62B,$536 ,9.95%
spain,1961,$14.25B,$464 ,11.84%
spain,1960,$12.43B,$408 ,%
indonesia,,$B,,2.79%
indonesia,,$B,,1.08%
indonesia,,$B,,3.53%
indonesia,,$B,,-2.24%
indonesia,,$B,,1.84%
indonesia,,$B,,5.74%
indonesia,2023,"$1,371.17B","$4,941 ",5.05%
indonesia,2022,"$1,319.08B","$4,788 ",5.31%
indonesia,2021,"$1,186.51B","$4,334 ",3.70%
indonesia,2020,"$1,059.05B","$3,896 ",-2.07%
indonesia,2019,"$1,119.10B","$4,151 ",5.02%
indonesia,2018,"$1,042.27B","$3,903 ",5.17%
indonesia,2017,"$1,015.62B","$3,840 ",5.07%
indonesia,2016,$931.88B,"$3,559 ",5.03%
indonesia,2015,$860.85B,"$3,323 ",4.88%
indonesia,2014,$890.81B,"$3,477 ",5.01%
indonesia,2013,$912.52B,"$3,603 ",5.56%
indonesia,2012,$917.87B,"$3,668 ",6.03%
indonesia,2011,$892.97B,"$3,614 ",6.17%
indonesia,2010,$755.09B,"$3,094 ",6.22%
indonesia,2009,$539.58B,"$2,239 ",4.63%
indonesia,2008,$510.23B,"$2,144 ",6.01%
indonesia,2007,$432.22B,"$1,840 ",6.35%
indonesia,2006,$364.57B,"$1,573 ",5.50%
indonesia,2005,$285.87B,"$1,249 ",5.69%
indonesia,2004,$256.84B,"$1,137 ",5.03%
indonesia,2003,$234.77B,"$1,052 ",4.78%
indonesia,2002,$195.66B,$889 ,4.50%
indonesia,2001,$160.45B,$739 ,3.64%
indonesia,2000,$165.02B,$771 ,4.92%
indonesia,1999,$140.00B,$664 ,0.79%
indonesia,1998,$95.45B,$459 ,-13.13%
indonesia,1997,$215.75B,"$1,054 ",4.70%
indonesia,1996,$227.37B,"$1,129 ",7.82%
indonesia,1995,$202.13B,"$1,020 ",8.22%
indonesia,1994,$176.89B,$907 ,7.54%
indonesia,1993,$158.01B,$824 ,6.50%
indonesia,1992,$128.03B,$679 ,6.50%
indonesia,1991,$116.62B,$629 ,6.78%
indonesia,1990,$106.14B,$583 ,7.22%
indonesia,1989,$94.45B,$528 ,7.79%
indonesia,1988,$84.30B,$480 ,5.63%
indonesia,1987,$75.93B,$440 ,5.00%
indonesia,1986,$79.95B,$473 ,5.77%
indonesia,1985,$85.29B,$514 ,2.46%
indonesia,1984,$84.85B,$523 ,6.84%
indonesia,1983,$81.05B,$510 ,4.40%
indonesia,1982,$90.16B,$581 ,2.25%
indonesia,1981,$85.52B,$564 ,7.88%
indonesia,1980,$72.48B,$489 ,10.00%
indonesia,1979,$51.40B,$355 ,7.14%
indonesia,1978,$51.46B,$364 ,6.87%
indonesia,1977,$45.81B,$332 ,8.26%
indonesia,1976,$37.27B,$277 ,7.08%
indonesia,1975,$30.46B,$232 ,5.61%
indonesia,1974,$25.80B,$202 ,7.23%
indonesia,1973,$16.27B,$130 ,8.10%
indonesia,1972,$11.00B,$91 ,7.04%
indonesia,1971,$9.33B,$79 ,7.02%
indonesia,1970,$9.15B,$79 ,7.55%
indonesia,1969,$8.34B,$74 ,6.82%
indonesia,1968,$7.08B,$65 ,10.92%
indonesia,1967,$5.67B,$53 ,1.38%
netherlands,2023,"$1,118.12B","$62,537 ",0.12%
netherlands,2022,"$1,009.40B","$57,025 ",4.33%
netherlands,2021,"$1,029.68B","$58,728 ",6.19%
netherlands,2020,$909.79B,"$52,163 ",-3.89%
netherlands,2019,$910.19B,"$52,476 ",1.96%
netherlands,2018,$914.04B,"$53,045 ",2.36%
netherlands,2017,$833.87B,"$48,675 ",2.91%
netherlands,2016,$784.06B,"$46,039 ",2.19%
netherlands,2015,$765.57B,"$45,193 ",1.96%
netherlands,2014,$892.17B,"$52,901 ",1.42%
netherlands,2013,$877.17B,"$52,199 ",-0.13%
netherlands,2012,$838.92B,"$50,070 ",-1.03%
netherlands,2011,$905.27B,"$54,230 ",1.55%
netherlands,2010,$847.38B,"$51,000 ",1.34%
netherlands,2009,$871.52B,"$52,722 ",-3.67%
netherlands,2008,$951.87B,"$57,880 ",2.17%
netherlands,2007,$848.56B,"$51,799 ",3.77%
netherlands,2006,$733.96B,"$44,901 ",3.46%
netherlands,2005,$685.35B,"$41,995 ",2.05%
netherlands,2004,$658.38B,"$40,437 ",1.98%
netherlands,2003,$580.07B,"$35,751 ",0.16%
netherlands,2002,$473.86B,"$29,343 ",0.22%
netherlands,2001,$431.59B,"$26,897 ",2.33%
netherlands,2000,$417.48B,"$26,214 ",4.20%
netherlands,1999,$447.05B,"$28,273 ",5.03%
netherlands,1998,$438.01B,"$27,886 ",4.66%
netherlands,1997,$416.81B,"$26,701 ",4.33%
netherlands,1996,$450.49B,"$29,007 ",3.50%
netherlands,1995,$452.30B,"$29,258 ",3.12%
netherlands,1994,$379.13B,"$24,646 ",2.96%
netherlands,1993,$353.55B,"$23,122 ",1.26%
netherlands,1992,$362.96B,"$23,904 ",1.71%
netherlands,1991,$327.50B,"$21,732 ",2.44%
netherlands,1990,$318.33B,"$21,291 ",4.18%
netherlands,1989,$258.34B,"$17,398 ",4.42%
netherlands,1988,$261.91B,"$17,745 ",3.44%
netherlands,1987,$245.05B,"$16,710 ",1.93%
netherlands,1986,$200.86B,"$13,784 ",2.79%
netherlands,1985,$143.85B,"$9,926 ",2.58%
netherlands,1984,$143.91B,"$9,977 ",3.06%
netherlands,1983,$153.45B,"$10,680 ",2.07%
netherlands,1982,$158.48B,"$11,073 ",-1.24%
netherlands,1981,$164.13B,"$11,520 ",-0.78%
netherlands,1980,$195.15B,"$13,792 ",1.34%
netherlands,1979,$179.67B,"$12,799 ",2.01%
netherlands,1978,$155.86B,"$11,179 ",2.70%
netherlands,1977,$127.02B,"$9,167 ",2.52%
netherlands,1976,$109.17B,"$7,926 ",4.46%
netherlands,1975,$100.25B,"$7,336 ",0.00%
netherlands,1974,$87.24B,"$6,441 ",3.44%
netherlands,1973,$71.84B,"$5,346 ",5.44%
netherlands,1972,$54.71B,"$4,104 ",3.53%
netherlands,1971,$44.58B,"$3,379 ",4.32%
netherlands,1970,$38.16B,"$2,927 ",6.14%
netherlands,1969,$34.04B,"$2,643 ",6.43%
netherlands,1968,$30.05B,"$2,361 ",6.42%
netherlands,1967,$27.10B,"$2,151 ",5.28%
netherlands,1966,$24.71B,"$1,983 ",2.74%
netherlands,1965,$22.69B,"$1,845 ",8.64%
netherlands,1964,$20.20B,"$1,666 ",8.27%
netherlands,1963,$17.17B,"$1,435 ",3.62%
netherlands,1962,$15.82B,"$1,340 ",6.84%
netherlands,1961,$14.58B,"$1,253 ",0.30%
netherlands,1960,$13.26B,"$1,155 ",%
turkey,2023,"$1,108.02B","$12,986 ",4.52%
turkey,2022,$907.12B,"$10,675 ",5.53%
turkey,2021,$819.87B,"$9,743 ",11.44%
turkey,2020,$720.34B,"$8,639 ",1.86%
turkey,2019,$761.01B,"$9,215 ",0.82%
turkey,2018,$778.97B,"$9,569 ",3.01%
turkey,2017,$858.99B,"$10,696 ",7.50%
turkey,2016,$869.68B,"$10,970 ",3.32%
turkey,2015,$864.31B,"$11,050 ",6.08%
turkey,2014,$938.93B,"$12,165 ",4.94%
turkey,2013,$957.80B,"$12,578 ",8.49%
turkey,2012,$880.56B,"$11,713 ",4.79%
turkey,2011,$838.79B,"$11,301 ",11.20%
turkey,2010,$776.97B,"$10,623 ",8.43%
turkey,2009,$649.29B,"$9,013 ",-4.82%
turkey,2008,$770.45B,"$10,844 ",0.82%
turkey,2007,$681.32B,"$9,711 ",5.04%
turkey,2006,$557.08B,"$8,004 ",6.95%
turkey,2005,$506.31B,"$7,369 ",8.99%
turkey,2004,$408.87B,"$6,032 ",9.80%
turkey,2003,$314.60B,"$4,705 ",5.76%
turkey,2002,$240.25B,"$3,641 ",6.45%
turkey,2001,$201.75B,"$3,100 ",-5.75%
turkey,2000,$274.29B,"$4,278 ",6.93%
turkey,1999,$256.40B,"$4,058 ",-3.26%
turkey,1998,$275.94B,"$4,433 ",2.40%
turkey,1997,$189.88B,"$3,099 ",7.58%
turkey,1996,$181.46B,"$3,010 ",7.38%
turkey,1995,$169.32B,"$2,855 ",7.88%
turkey,1994,$130.65B,"$2,241 ",-4.67%
turkey,1993,$180.42B,"$3,149 ",7.65%
turkey,1992,$159.10B,"$2,826 ",5.04%
