Country,Trade Type,Category,Value,Year
cameroon,Export,Iron and steel,$33.93M,2021
cameroon,Export,"Machinery, nuclear reactors, boilers",$28.98M,2021
cape-verde,Export,"Mineral fuels, oils, distillation products",$171.72M,2023
cape-verde,Export,"Meat, fish and seafood preparations",$40.45M,2023
cape-verde,Export,"Railway, tramway locomotives, rolling stock, equipment",$25.88M,2023
cape-verde,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$13.10M,2023
cape-verde,Export,"Machinery, nuclear reactors, boilers",$3.83M,2023
cape-verde,Export,Aluminum,$2.40M,2023
cape-verde,Export,"Footwear, gaiters and the like,",$2.35M,2023
cape-verde,Export,"Electrical, electronic equipment",$2.33M,2023
cape-verde,Export,Tobacco and manufactures tobacco substitutes,$2.06M,2023
cape-verde,Export,"Optical, photo, technical, medical apparatus",$1.72M,2023
central-african-republic,Export,"Pearls, precious stones, metals, coins",$86.52M,2023
central-african-republic,Export,"Wood and articles of wood, wood charcoal",$12.38M,2023
central-african-republic,Export,"Vehicles other than railway, tramway",$5.25M,2023
central-african-republic,Export,"Machinery, nuclear reactors, boilers",$1.81M,2023
central-african-republic,Export,"Electrical, electronic equipment",$1.43M,2023
central-african-republic,Export,Headgear and,$997.61K,2023
central-african-republic,Export,Miscellaneous edible preparations,$943.11K,2023
central-african-republic,Export,Cotton,$904.60K,2023
central-african-republic,Export,"Toys, games, sports requisites",$749.56K,2023
central-african-republic,Export,"Railway, tramway locomotives, rolling stock, equipment",$498.08K,2023
comoros,Export,"Coffee, tea, mate and spices",$18.08M,2021
comoros,Export,"Essential oils, perfumes, cosmetics, toileteries",$6.18M,2021
comoros,Export,"Ships, boats, and other floating structures",$2.92M,2021
comoros,Export,"Machinery, nuclear reactors, boilers",$2.33M,2021
comoros,Export,Aluminum,$2.19M,2021
comoros,Export,Articles of iron or steel,$706.62K,2021
comoros,Export,"Vehicles other than railway, tramway",$514.96K,2021
comoros,Export,Iron and steel,$368.25K,2021
comoros,Export,Miscellanneous manufactured articles,$347.99K,2021
comoros,Export,"Furniture, lighting signs, prefabricated buildings",$143.87K,2021
congo,Export,Copper,$18.45B,2023
congo,Export,"Inorganic chemicals, precious metal compound, isotope",$4.78B,2023
congo,Export,Ores slag and ash,$2.50B,2023
congo,Export,"Pearls, precious stones, metals, coins",$1.41B,2023
congo,Export,"Mineral fuels, oils, distillation products",$169.89M,2023
congo,Export,Cocoa and cocoa preparations,$144.52M,2023
congo,Export,"Base metals not specified elsewhere, cermets.",$54.10M,2023
congo,Export,"Wood and articles of wood, wood charcoal",$50.05M,2023
congo,Export,Zinc,$31.29M,2023
congo,Export,"Coffee, tea, mate and spices",$18.92M,2023
djibouti,Export,"Animal, vegetable fats and oils, cleavage products",$1.01B,2023
djibouti,Export,"Vehicles other than railway, tramway",$801.01M,2023
djibouti,Export,Iron and steel,$614.00M,2023
djibouti,Export,Sugars and sugar confectionery,$403.14M,2023
djibouti,Export,Plastics,$301.61M,2023
djibouti,Export,Cereals,$268.15M,2023
djibouti,Export,"Electrical, electronic equipment",$211.96M,2023
djibouti,Export,"Machinery, nuclear reactors, boilers",$131.20M,2023
djibouti,Export,"Inorganic chemicals, precious metal compound, isotope",$119.65M,2023
djibouti,Export,Edible vegetables and certain roots and tubers,$104.22M,2023
egypt,Export,"Mineral fuels, oils, distillation products",$7.37B,2023
egypt,Export,"Electrical, electronic equipment",$2.64B,2023
egypt,Export,Fertilizers,$2.46B,2023
egypt,Export,Iron and steel,$2.33B,2023
egypt,Export,Plastics,$2.29B,2023
egypt,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$2.22B,2023
egypt,Export,"Pearls, precious stones, metals, coins",$1.86B,2023
egypt,Export,Edible vegetables and certain roots and tubers,$1.72B,2023
egypt,Export,"Articles of apparel, not knit or crocheted",$1.63B,2023
egypt,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$1.37B,2023
eritrea,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$1.54M,2003
eritrea,Export,Raw hides and skins (other than furskins) and leather,$948.09K,2003
eritrea,Export,Products of animal origin,$654.18K,2003
eritrea,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$414.68K,2003
eritrea,Export,"Optical, photo, technical, medical apparatus",$411.02K,2003
eritrea,Export,Edible vegetables and certain roots and tubers,$399.21K,2003
eritrea,Export,Cotton,$209.97K,2003
eritrea,Export,"Vegetable plaiting materials, vegetable products",$199.48K,2003
eritrea,Export,"Lac, gums, resins",$193.18K,2003
eritrea,Export,"Aircraft, spacecraft",$192.69K,2003
ethiopia,Export,"Coffee, tea, mate and spices",$1.24B,2023
ethiopia,Export,Edible vegetables and certain roots and tubers,$499.53M,2023
ethiopia,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$424.46M,2023
ethiopia,Export,"Live trees, plants, bulbs, roots, cut flowers",$262.09M,2023
ethiopia,Export,Meat and edible meat offal,$63.04M,2023
ethiopia,Export,"Articles of apparel, knit or crocheted",$59.81M,2023
ethiopia,Export,"Machinery, nuclear reactors, boilers",$57.95M,2023
ethiopia,Export,"Articles of apparel, not knit or crocheted",$34.39M,2023
ethiopia,Export,"Cereal, flour, starch, milk preparations and products",$23.88M,2023
ethiopia,Export,Raw hides and skins (other than furskins) and leather,$20.28M,2023
gabon,Export,"Mineral fuels, oils, distillation products",$6.85B,2023
gabon,Export,Ores slag and ash,$2.95B,2023
gabon,Export,"Ships, boats, and other floating structures",$1.62B,2023
gabon,Export,"Wood and articles of wood, wood charcoal",$837.25M,2023
gabon,Export,"Animal, vegetable fats and oils, cleavage products",$104.56M,2023
gabon,Export,"Machinery, nuclear reactors, boilers",$70.54M,2023
gabon,Export,Articles of iron or steel,$47.43M,2023
gabon,Export,"Electrical, electronic equipment",$39.47M,2023
gabon,Export,Iron and steel,$38.83M,2023
gabon,Export,"Aircraft, spacecraft",$21.49M,2023
gambia,Export,"Mineral fuels, oils, distillation products",$60.11M,2023
gambia,Export,Sugars and sugar confectionery,$4.73M,2023
gambia,Export,"Animal, vegetable fats and oils, cleavage products",$2.94M,2023
gambia,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$2.88M,2023
gambia,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$2.75M,2023
gambia,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$2.48M,2023
gambia,Export,"Vegetable, fruit, nut food preparations",$1.89M,2023
gambia,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$1.47M,2023
gambia,Export,Iron and steel,$975.37K,2023
gambia,Export,"Vehicles other than railway, tramway",$745.25K,2023
ghana,Export,"Pearls, precious stones, metals, coins",$7.67B,2023
ghana,Export,"Mineral fuels, oils, distillation products",$4.05B,2023
ghana,Export,Cocoa and cocoa preparations,$1.90B,2023
ghana,Export,Ores slag and ash,$395.29M,2023
ghana,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$387.29M,2023
ghana,Export,Iron and steel,$289.14M,2023
ghana,Export,"Animal, vegetable fats and oils, cleavage products",$191.31M,2023
ghana,Export,Plastics,$188.77M,2023
ghana,Export,"Meat, fish and seafood preparations",$143.30M,2023
ghana,Export,Aluminum,$129.28M,2023
guinea,Export,Ores slag and ash,$55.22B,2017
guinea,Export,"Ships, boats, and other floating structures",$4.87B,2017
guinea,Export,"Pearls, precious stones, metals, coins",$1.75B,2017
guinea,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$44.04M,2017
guinea,Export,Rubbers,$33.84M,2017
guinea,Export,"Machinery, nuclear reactors, boilers",$25.96M,2017
guinea,Export,Plastics,$23.11M,2017
guinea,Export,"Aircraft, spacecraft",$12.28M,2017
guinea,Export,"Coffee, tea, mate and spices",$11.29M,2017
guinea,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$10.91M,2017
guinea-bissau,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$22.92M,2005
guinea-bissau,Export,Iron and steel,$146.17K,2005
guinea-bissau,Export,"Wood and articles of wood, wood charcoal",$49.78K,2005
guinea-bissau,Export,Tin,$48.67K,2005
guinea-bissau,Export,Pharmaceutical products,$47.84K,2005
guinea-bissau,Export,"Vegetable, fruit, nut food preparations",$16.16K,2005
guinea-bissau,Export,"Machinery, nuclear reactors, boilers",$11.81K,2005
guinea-bissau,Export,Plastics,$3.16K,2005
guinea-bissau,Export,"Vehicles other than railway, tramway",$3.04K,2005
guinea-bissau,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$932 ,2005
ivory-coast,Export,Cocoa and cocoa preparations,$5.81B,2023
ivory-coast,Export,"Mineral fuels, oils, distillation products",$2.89B,2023
ivory-coast,Export,"Pearls, precious stones, metals, coins",$2.35B,2023
ivory-coast,Export,Rubbers,$2.05B,2023
ivory-coast,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$1.51B,2023
ivory-coast,Export,"Ships, boats, and other floating structures",$1.00B,2023
ivory-coast,Export,"Animal, vegetable fats and oils, cleavage products",$327.67M,2023
ivory-coast,Export,"Essential oils, perfumes, cosmetics, toileteries",$287.29M,2023
ivory-coast,Export,Cotton,$224.13M,2023
ivory-coast,Export,Plastics,$175.91M,2023
kenya,Export,"Coffee, tea, mate and spices",$1.63B,2023
kenya,Export,"Live trees, plants, bulbs, roots, cut flowers",$726.76M,2023
kenya,Export,"Mineral fuels, oils, distillation products",$367.42M,2023
kenya,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$244.46M,2023
kenya,Export,"Animal, vegetable fats and oils, cleavage products",$223.77M,2023
kenya,Export,Edible vegetables and certain roots and tubers,$220.21M,2023
kenya,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$208.19M,2023
kenya,Export,Ores slag and ash,$202.63M,2023
kenya,Export,Iron and steel,$184.12M,2023
kenya,Export,"Articles of apparel, not knit or crocheted",$183.70M,2023
lesotho,Export,"Pearls, precious stones, metals, coins",$195.78M,2023
lesotho,Export,"Articles of apparel, knit or crocheted",$181.34M,2023
lesotho,Export,"Articles of apparel, not knit or crocheted",$129.07M,2023
lesotho,Export,"Beverages, spirits and vinegar",$75.12M,2023
lesotho,Export,"Wool, animal hair, horsehair yarn and fabric",$48.10M,2023
lesotho,Export,"Electrical, electronic equipment",$39.05M,2023
lesotho,Export,"Other made textile articles, sets, worn clothing",$33.11M,2023
lesotho,Export,Cotton,$27.09M,2023
lesotho,Export,"Machinery, nuclear reactors, boilers",$20.02M,2023
lesotho,Export,"Milling products, malt, starches, inlin, wheat gluten",$17.12M,2023
liberia,Export,Rubbers,$97.16M,2023
liberia,Export,"Animal, vegetable fats and oils, cleavage products",$32.37M,2023
liberia,Export,"Machinery, nuclear reactors, boilers",$5.68M,2023
liberia,Export,Cocoa and cocoa preparations,$4.14M,2023
liberia,Export,"Mineral fuels, oils, distillation products",$2.83M,2023
liberia,Export,"Soaps, lubricants, waxes, candles, modelling pastes",$2.48M,2023
liberia,Export,Articles of iron or steel,$1.78M,2023
liberia,Export,"Wood and articles of wood, wood charcoal",$1.55M,2023
liberia,Export,"Toys, games, sports requisites",$1.43M,2023
liberia,Export,"Vehicles other than railway, tramway",$1.16M,2023
libya,Export,"Mineral fuels, oils, distillation products",$27.65B,2019
libya,Export,"Pearls, precious stones, metals, coins",$1.20B,2019
libya,Export,Iron and steel,$202.39M,2019
libya,Export,Copper,$62.23M,2019
libya,Export,Organic chemicals,$33.88M,2019
libya,Export,Aluminum,$29.50M,2019
libya,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$21.26M,2019
libya,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$13.85M,2019
libya,Export,"Electrical, electronic equipment",$13.55M,2019
libya,Export,Commodities not specified according to kind,$12.91M,2019
madagascar,Export,Nickel,$832.38M,2023
madagascar,Export,"Coffee, tea, mate and spices",$538.16M,2023
madagascar,Export,"Articles of apparel, knit or crocheted",$255.21M,2023
madagascar,Export,Ores slag and ash,$252.88M,2023
madagascar,Export,"Articles of apparel, not knit or crocheted",$247.52M,2023
madagascar,Export,"Pearls, precious stones, metals, coins",$230.40M,2023
madagascar,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$134.45M,2023
madagascar,Export,"Base metals not specified elsewhere, cermets.",$111.70M,2023
madagascar,Export,"Mineral fuels, oils, distillation products",$75.53M,2023
madagascar,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$74.06M,2023
malawi,Export,Tobacco and manufactures tobacco substitutes,$449.21M,2023
malawi,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$102.53M,2023
malawi,Export,Edible vegetables and certain roots and tubers,$100.18M,2023
malawi,Export,"Coffee, tea, mate and spices",$72.91M,2023
malawi,Export,"Residues, wastes of food industry, animal fodder",$52.73M,2023
malawi,Export,Sugars and sugar confectionery,$43.02M,2023
malawi,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$20.16M,2023
malawi,Export,"Inorganic chemicals, precious metal compound, isotope",$11.74M,2023
malawi,Export,"Machinery, nuclear reactors, boilers",$10.37M,2023
malawi,Export,"Wood and articles of wood, wood charcoal",$10.03M,2023
mali,Export,"Pearls, precious stones, metals, coins",$2.66B,2019
mali,Export,Cotton,$425.29M,2019
mali,Export,Live animals,$211.00M,2019
mali,Export,Fertilizers,$52.70M,2019
mali,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$39.83M,2019
mali,Export,"Machinery, nuclear reactors, boilers",$30.08M,2019
mali,Export,"Mineral fuels, oils, distillation products",$26.64M,2019
mali,Export,Iron and steel,$25.05M,2019
mali,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$21.01M,2019
mali,Export,"Vehicles other than railway, tramway",$20.35M,2019
mauritania,Export,Ores slag and ash,$1.54B,2023
mauritania,Export,"Pearls, precious stones, metals, coins",$1.52B,2023
mauritania,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$675.82M,2023
mauritania,Export,"Residues, wastes of food industry, animal fodder",$93.42M,2023
mauritania,Export,Articles of iron or steel,$87.20M,2023
mauritania,Export,"Machinery, nuclear reactors, boilers",$35.14M,2023
mauritania,Export,"Animal, vegetable fats and oils, cleavage products",$19.82M,2023
mauritania,Export,"Mineral fuels, oils, distillation products",$19.50M,2023
mauritania,Export,"Optical, photo, technical, medical apparatus",$16.90M,2023
mauritania,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$16.11M,2023
mauritius,Export,"Meat, fish and seafood preparations",$263.34M,2023
mauritius,Export,Sugars and sugar confectionery,$232.44M,2023
mauritius,Export,"Articles of apparel, knit or crocheted",$170.39M,2023
mauritius,Export,"Articles of apparel, not knit or crocheted",$169.46M,2023
mauritius,Export,"Pearls, precious stones, metals, coins",$133.41M,2023
mauritius,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$93.45M,2023
mauritius,Export,Live animals,$89.05M,2023
mauritius,Export,Knitted or crocheted fabric,$66.44M,2023
mauritius,Export,"Optical, photo, technical, medical apparatus",$62.47M,2023
mauritius,Export,Plastics,$50.06M,2023
morocco,Export,"Vehicles other than railway, tramway",$7.97B,2023
morocco,Export,"Electrical, electronic equipment",$7.72B,2023
morocco,Export,Fertilizers,$5.46B,2023
morocco,Export,"Articles of apparel, not knit or crocheted",$2.91B,2023
morocco,Export,Edible vegetables and certain roots and tubers,$1.88B,2023
morocco,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$1.78B,2023
morocco,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$1.69B,2023
morocco,Export,"Inorganic chemicals, precious metal compound, isotope",$1.36B,2023
morocco,Export,"Aircraft, spacecraft",$1.26B,2023
morocco,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$1.08B,2023
mozambique,Export,"Mineral fuels, oils, distillation products",$4.77B,2023
mozambique,Export,Aluminum,$1.28B,2023
mozambique,Export,Ores slag and ash,$516.54M,2023
mozambique,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$278.08M,2023
mozambique,Export,"Pearls, precious stones, metals, coins",$260.55M,2023
mozambique,Export,Tobacco and manufactures tobacco substitutes,$154.21M,2023
mozambique,Export,Edible vegetables and certain roots and tubers,$150.25M,2023
mozambique,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$128.12M,2023
mozambique,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$127.96M,2023
mozambique,Export,Fertilizers,$97.40M,2023
namibia,Export,"Pearls, precious stones, metals, coins",$2.24B,2023
namibia,Export,Ores slag and ash,$928.86M,2023
namibia,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$728.23M,2023
namibia,Export,"Mineral fuels, oils, distillation products",$298.92M,2023
namibia,Export,Copper,$258.44M,2023
namibia,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$106.41M,2023
namibia,Export,"Machinery, nuclear reactors, boilers",$92.97M,2023
namibia,Export,Live animals,$81.20M,2023
namibia,Export,Meat and edible meat offal,$78.51M,2023
namibia,Export,"Printed books, newspapers, pictures",$75.08M,2023
niger,Export,Ores slag and ash,$204.38M,2023
niger,Export,"Pearls, precious stones, metals, coins",$110.88M,2023
niger,Export,"Mineral fuels, oils, distillation products",$86.02M,2023
niger,Export,Edible vegetables and certain roots and tubers,$16.57M,2023
niger,Export,"Machinery, nuclear reactors, boilers",$10.41M,2023
niger,Export,"Railway, tramway locomotives, rolling stock, equipment",$6.51M,2023
niger,Export,"Vehicles other than railway, tramway",$5.10M,2023
niger,Export,Live animals,$4.06M,2023
niger,Export,"Animal, vegetable fats and oils, cleavage products",$3.17M,2023
niger,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$2.43M,2023
nigeria,Export,"Mineral fuels, oils, distillation products",$59.66B,2023
nigeria,Export,Fertilizers,$1.07B,2023
nigeria,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$856.40M,2023
nigeria,Export,Cocoa and cocoa preparations,$815.04M,2023
nigeria,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$352.45M,2023
nigeria,Export,Aluminum,$301.16M,2023
nigeria,Export,"Ships, boats, and other floating structures",$198.34M,2023
nigeria,Export,Copper,$191.75M,2023
nigeria,Export,Ores slag and ash,$170.41M,2023
nigeria,Export,"Machinery, nuclear reactors, boilers",$158.49M,2023
republic-of-the-congo,Export,"Mineral fuels, oils, distillation products",$7.76B,2022
republic-of-the-congo,Export,"Ships, boats, and other floating structures",$508.58M,2022
republic-of-the-congo,Export,"Wood and articles of wood, wood charcoal",$344.43M,2022
republic-of-the-congo,Export,Copper,$77.49M,2022
republic-of-the-congo,Export,Zinc,$44.53M,2022
republic-of-the-congo,Export,"Machinery, nuclear reactors, boilers",$23.48M,2022
republic-of-the-congo,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$16.17M,2022
republic-of-the-congo,Export,"Aircraft, spacecraft",$14.44M,2022
republic-of-the-congo,Export,Articles of iron or steel,$13.85M,2022
republic-of-the-congo,Export,"Vehicles other than railway, tramway",$9.53M,2022
rwanda,Export,"Pearls, precious stones, metals, coins",$557.89M,2022
rwanda,Export,Ores slag and ash,$252.58M,2022
rwanda,Export,"Coffee, tea, mate and spices",$202.57M,2022
rwanda,Export,"Mineral fuels, oils, distillation products",$198.52M,2022
rwanda,Export,"Cereal, flour, starch, milk preparations and products",$71.61M,2022
rwanda,Export,"Animal, vegetable fats and oils, cleavage products",$67.11M,2022
rwanda,Export,"Milling products, malt, starches, inlin, wheat gluten",$65.33M,2022
rwanda,Export,Cereals,$63.83M,2022
rwanda,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$46.18M,2022
rwanda,Export,Sugars and sugar confectionery,$46.08M,2022
sao-tome-and-principe,Export,Cocoa and cocoa preparations,$10.18M,2023
sao-tome-and-principe,Export,"Animal, vegetable fats and oils, cleavage products",$5.60M,2023
sao-tome-and-principe,Export,"Coffee, tea, mate and spices",$325.06K,2023
sao-tome-and-principe,Export,"Aircraft, spacecraft",$54.00K,2023
sao-tome-and-principe,Export,"Machinery, nuclear reactors, boilers",$53.03K,2023
sao-tome-and-principe,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$48.91K,2023
sao-tome-and-principe,Export,"Dairy products, eggs, honey, edible products",$46.08K,2023
sao-tome-and-principe,Export,"Vehicles other than railway, tramway",$34.97K,2023
sao-tome-and-principe,Export,Miscellaneous chemical products,$32.47K,2023
sao-tome-and-principe,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$30.83K,2023
senegal,Export,"Mineral fuels, oils, distillation products",$1.14B,2023
senegal,Export,"Pearls, precious stones, metals, coins",$875.53M,2023
senegal,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$491.24M,2023
senegal,Export,"Inorganic chemicals, precious metal compound, isotope",$443.39M,2023
senegal,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$319.29M,2023
senegal,Export,Ores slag and ash,$242.15M,2023
senegal,Export,Iron and steel,$190.66M,2023
senegal,Export,Miscellaneous edible preparations,$174.54M,2023
senegal,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$174.40M,2023
senegal,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$115.89M,2023
seychelles,Export,"Meat, fish and seafood preparations",$253.14M,2023
seychelles,Export,"Mineral fuels, oils, distillation products",$193.99M,2023
seychelles,Export,Iron and steel,$38.98M,2023
seychelles,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$29.63M,2023
seychelles,Export,"Residues, wastes of food industry, animal fodder",$7.48M,2023
seychelles,Export,"Machinery, nuclear reactors, boilers",$4.20M,2023
seychelles,Export,"Animal, vegetable fats and oils, cleavage products",$3.73M,2023
seychelles,Export,"Beverages, spirits and vinegar",$2.55M,2023
seychelles,Export,"Aircraft, spacecraft",$2.54M,2023
seychelles,Export,"Optical, photo, technical, medical apparatus",$2.18M,2023
sierra-leone,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$42.03M,2018
sierra-leone,Export,Ores slag and ash,$32.19M,2018
sierra-leone,Export,Cocoa and cocoa preparations,$22.35M,2018
sierra-leone,Export,"Wood and articles of wood, wood charcoal",$20.31M,2018
sierra-leone,Export,"Vehicles other than railway, tramway",$20.15M,2018
sierra-leone,Export,"Machinery, nuclear reactors, boilers",$12.60M,2018
sierra-leone,Export,"Animal, vegetable fats and oils, cleavage products",$11.56M,2018
sierra-leone,Export,"Explosives, pyrotechnics, matches, pyrophorics",$5.53M,2018
sierra-leone,Export,"Vegetable, fruit, nut food preparations",$5.09M,2018
sierra-leone,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$4.92M,2018
south-africa,Export,"Pearls, precious stones, metals, coins",$20.31B,2024
south-africa,Export,Ores slag and ash,$17.21B,2024
south-africa,Export,"Vehicles other than railway, tramway",$12.57B,2024
south-africa,Export,"Mineral fuels, oils, distillation products",$10.57B,2024
south-africa,Export,Iron and steel,$5.77B,2024
south-africa,Export,"Machinery, nuclear reactors, boilers",$5.66B,2024
south-africa,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$4.95B,2024
south-africa,Export,"Electrical, electronic equipment",$2.30B,2024
south-africa,Export,Aluminum,$2.17B,2024
south-africa,Export,"Beverages, spirits and vinegar",$1.53B,2024
sudan,Export,"Pearls, precious stones, metals, coins",$911.41M,2018
sudan,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$820.35M,2018
sudan,Export,Live animals,$765.04M,2018
sudan,Export,"Mineral fuels, oils, distillation products",$509.49M,2018
sudan,Export,Cotton,$156.28M,2018
sudan,Export,"Lac, gums, resins",$115.05M,2018
sudan,Export,Meat and edible meat offal,$66.64M,2018
sudan,Export,Edible vegetables and certain roots and tubers,$55.76M,2018
sudan,Export,"Railway, tramway locomotives, rolling stock, equipment",$34.36M,2018
sudan,Export,Cereals,$27.92M,2018
swaziland,Export,"Essential oils, perfumes, cosmetics, toileteries",$586.39M,2023
swaziland,Export,Sugars and sugar confectionery,$477.25M,2023
swaziland,Export,Miscellaneous chemical products,$282.22M,2023
swaziland,Export,"Articles of apparel, not knit or crocheted",$145.51M,2023
swaziland,Export,"Wood and articles of wood, wood charcoal",$135.53M,2023
swaziland,Export,"Mineral fuels, oils, distillation products",$75.40M,2023
swaziland,Export,"Beverages, spirits and vinegar",$60.71M,2023
swaziland,Export,"Articles of apparel, knit or crocheted",$49.32M,2023
swaziland,Export,"Vegetable, fruit, nut food preparations",$39.66M,2023
swaziland,Export,"Cereal, flour, starch, milk preparations and products",$36.21M,2023
tanzania,Export,"Pearls, precious stones, metals, coins",$3.14B,2023
tanzania,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$391.49M,2023
tanzania,Export,Tobacco and manufactures tobacco substitutes,$378.44M,2023
tanzania,Export,Edible vegetables and certain roots and tubers,$318.71M,2023
tanzania,Export,"Coffee, tea, mate and spices",$293.75M,2023
tanzania,Export,"Mineral fuels, oils, distillation products",$285.00M,2023
tanzania,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$260.09M,2023
tanzania,Export,Ores slag and ash,$230.94M,2023
tanzania,Export,Cereals,$173.52M,2023
tanzania,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$164.01M,2023
togo,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$331.48M,2023
togo,Export,"Mineral fuels, oils, distillation products",$202.47M,2023
togo,Export,Plastics,$125.48M,2023
togo,Export,"Animal, vegetable fats and oils, cleavage products",$97.18M,2023
togo,Export,"Residues, wastes of food industry, animal fodder",$84.65M,2023
togo,Export,"Essential oils, perfumes, cosmetics, toileteries",$83.64M,2023
togo,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$72.42M,2023
togo,Export,Cotton,$66.36M,2023
togo,Export,"Vehicles other than railway, tramway",$50.40M,2023
togo,Export,"Bird skin, feathers, artificial flowers, human hair",$45.35M,2023
tunisia,Export,"Electrical, electronic equipment",$5.39B,2023
tunisia,Export,"Articles of apparel, not knit or crocheted",$1.86B,2023
tunisia,Export,"Animal, vegetable fats and oils, cleavage products",$1.38B,2023
tunisia,Export,"Mineral fuels, oils, distillation products",$1.24B,2023
tunisia,Export,"Articles of apparel, knit or crocheted",$785.05M,2023
tunisia,Export,"Machinery, nuclear reactors, boilers",$770.38M,2023
tunisia,Export,"Optical, photo, technical, medical apparatus",$765.87M,2023
tunisia,Export,Plastics,$759.95M,2023
tunisia,Export,"Vehicles other than railway, tramway",$631.72M,2023
tunisia,Export,"Footwear, gaiters and the like,",$561.19M,2023
uganda,Export,"Pearls, precious stones, metals, coins",$2.23B,2023
uganda,Export,"Coffee, tea, mate and spices",$1.07B,2023
uganda,Export,Cereals,$188.96M,2023
uganda,Export,"Mineral fuels, oils, distillation products",$186.76M,2023
uganda,Export,Ceramic products,$183.29M,2023
uganda,Export,Iron and steel,$153.92M,2023
uganda,Export,Cocoa and cocoa preparations,$141.41M,2023
uganda,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$134.01M,2023
uganda,Export,"Wood and articles of wood, wood charcoal",$133.96M,2023
uganda,Export,"Milling products, malt, starches, inlin, wheat gluten",$130.79M,2023
zambia,Export,Copper,$6.73B,2023
zambia,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$511.00M,2023
zambia,Export,"Mineral fuels, oils, distillation products",$415.95M,2023
zambia,Export,Ores slag and ash,$248.44M,2023
zambia,Export,Iron and steel,$193.60M,2023
zambia,Export,"Vehicles other than railway, tramway",$182.71M,2023
zambia,Export,"Inorganic chemicals, precious metal compound, isotope",$168.03M,2023
zambia,Export,Tobacco and manufactures tobacco substitutes,$166.88M,2023
zambia,Export,"Pearls, precious stones, metals, coins",$165.87M,2023
zambia,Export,Sugars and sugar confectionery,$164.59M,2023
zimbabwe,Export,"Pearls, precious stones, metals, coins",$2.25B,2023
zimbabwe,Export,Tobacco and manufactures tobacco substitutes,$1.30B,2023
zimbabwe,Export,Nickel,$989.70M,2023
